TKR181200217	PLANET-seq_1
TKR181200218	PLANET-seq_2
SRR6821575	RNAseq_1
SRR6821571	RNAseq_2
SRR6821567	RNAseq_3
SRR5681055	GRO_mut_1
SRR5681056	GRO_mut_2
SRR5681049	GRO_1
SRR5681050	GRO_2
SRR6661081	pNET-seq_1_tot
SRR6661082	pNET-seq_2_tot
SRR6661083	pNET-seq_1_unph
SRR6661084	pNET-seq_2_unph
SRR6661085	pNET-seq_1_S5P
SRR6661086	pNET-seq_2_S5P
SRR6661087	pNET-seq_1_S5P
SRR6661088	pNET-seq_2_S5P
SRR5681055	GRO-seq_nrpd1e1_rep1
SRR5681056	GRO-seq_nrpd1e1_rep2
SRR5681049	GRO-seq_rep1
SRR5681050	GRO-seq_rep2
SRR6410845	H3K9me2
SRR6294468	WT_H3K27me3_rep2
SRR6364625	Col-H4K16Ac
SRR5996715	WT_anti-H3K27me3_rep_1
SRR7474123	RNA_seq_rep1_seedling
SRR7474124	RNA_seq_rep2_seedling
SRR7474125	RNA_seq_rep3_seedling
SRR647671	ein3-1_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR5313787	ChIPseq_PolIISer5P_ago1-36_input
SRR2979666	ein2_mutant_in_COL-0_background_for_air_treatment
SRR5201551	CG_input2,_rep_2
SRR5201550	CG_input1,_rep1
SRR6412330	brm_H2A.Z_ChIP_-_rep2
SRR6412331	brm_input_-_rep1
SRR6412332	brm_input_-_rep2
SRR5313744	ChIPseq_AGO1_WT_Coldcontrol_ChIP_rep1
SRR5313745	ChIPseq_AGO1_WT_Coldcontrol_ChIP_rep2
SRR5313746	ChIPseq_AGO1_WT_Coldcontrol_input_rep1
SRR5313747	ChIPseq_AGO1_WT_Coldcontrol_input_rep2
SRR5313740	ChIPseq_AGO1_WT_BTHtreat_input_rep1
SRR5313741	ChIPseq_AGO1_WT_BTHtreat_input_rep2
SRR5313742	ChIPseq_AGO1_WT_ChIP_rep1
SRR5313743	ChIPseq_AGO1_WT_ChIP_rep2
SRR3610908	ChIP_GSH_3h_rep1
SRR3610909	ChIP_GSH_3h_rep1
SRR5313748	ChIPseq_AGO1_WT_Coldtreat_ChIP_rep1
SRR5313749	ChIPseq_AGO1_WT_Coldtreat_ChIP_rep2
SRR520359	NRPE1_ChIP_replicate_2
SRR1848407	at-endosperm-H3K9m2_2_replicate_1_col_x_ler
ERR1399340	E-MTAB-4684:Sample_24;_Sample_24
ERR1399341	E-MTAB-4684:Sample_3;_Sample_3
